Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,State,County,month,day
11:53 AM,64 F,40 F,41 %,W,9 mph,0 mph,30.03 in,0.0 in,Partly Cloudy,California,Alameda,3,10
12:53 PM,62 F,46 F,56 %,W,8 mph,0 mph,30.02 in,0.0 in,Mostly Cloudy,California,Alameda,3,10
1:53 PM,64 F,43 F,46 %,SW,6 mph,0 mph,30.00 in,0.0 in,Mostly Cloudy,California,Alameda,3,10
2:53 PM,68 F,41 F,37 %,SW,8 mph,0 mph,29.98 in,0.0 in,Mostly Cloudy,California,Alameda,3,10
3:53 PM,69 F,41 F,36 %,SSE,7 mph,0 mph,29.99 in,0.0 in,Mostly Cloudy,California,Alameda,3,10
4:53 PM,71 F,41 F,34 %,SE,5 mph,0 mph,29.97 in,0.0 in,Mostly Cloudy,California,Alameda,3,10
5:53 PM,69 F,42 F,38 %,W,7 mph,0 mph,29.94 in,0.0 in,Mostly Cloudy,California,Alameda,3,10
6:53 PM,66 F,42 F,42 %,WNW,5 mph,0 mph,29.95 in,0.0 in,Mostly Cloudy,California,Alameda,3,10
7:53 PM,64 F,48 F,56 %,WNW,6 mph,0 mph,29.95 in,0.0 in,Mostly Cloudy,California,Alameda,3,10
8:53 PM,64 F,44 F,48 %,WSW,7 mph,0 mph,29.98 in,0.0 in,Mostly Cloudy,California,Alameda,3,10
9:53 PM,62 F,48 F,60 %,SSW,7 mph,0 mph,30.01 in,0.0 in,Partly Cloudy,California,Alameda,3,10
10:53 PM,63 F,47 F,56 %,S,3 mph,0 mph,30.03 in,0.0 in,Mostly Cloudy,California,Alameda,3,10
11:53 PM,61 F,47 F,60 %,CALM,0 mph,0 mph,30.03 in,0.0 in,Mostly Cloudy,California,Alameda,3,10
12:53 AM,61 F,47 F,60 %,CALM,0 mph,0 mph,30.03 in,0.0 in,Cloudy,California,Alameda,3,11
1:53 AM,59 F,51 F,75 %,SSE,3 mph,0 mph,30.03 in,0.0 in,Mostly Cloudy,California,Alameda,3,11
2:53 AM,58 F,49 F,72 %,NNE,3 mph,0 mph,30.04 in,0.0 in,Cloudy,California,Alameda,3,11
3:53 AM,58 F,48 F,70 %,NNW,3 mph,0 mph,30.03 in,0.0 in,Cloudy,California,Alameda,3,11
4:53 AM,58 F,49 F,72 %,NW,3 mph,0 mph,30.03 in,0.0 in,Cloudy,California,Alameda,3,11
5:53 AM,56 F,48 F,75 %,CALM,0 mph,0 mph,30.04 in,0.0 in,Cloudy,California,Alameda,3,11
6:53 AM,57 F,49 F,74 %,NNW,5 mph,0 mph,30.06 in,0.0 in,Cloudy,California,Alameda,3,11
7:53 AM,57 F,49 F,74 %,N,3 mph,0 mph,30.07 in,0.0 in,Cloudy,California,Alameda,3,11
8:53 AM,60 F,50 F,69 %,CALM,0 mph,0 mph,30.08 in,0.0 in,Mostly Cloudy,California,Alameda,3,11
9:53 AM,62 F,48 F,60 %,W,5 mph,0 mph,30.09 in,0.0 in,Mostly Cloudy,California,Alameda,3,11
10:53 AM,64 F,47 F,54 %,W,7 mph,0 mph,30.09 in,0.0 in,Partly Cloudy,California,Alameda,3,11
11:53 AM,65 F,48 F,54 %,W,9 mph,0 mph,30.08 in,0.0 in,Partly Cloudy,California,Alameda,3,11
12:53 PM,68 F,47 F,47 %,VAR,7 mph,0 mph,30.06 in,0.0 in,Fair,California,Alameda,3,11
1:53 PM,70 F,49 F,47 %,WNW,12 mph,0 mph,30.03 in,0.0 in,Fair,California,Alameda,3,11
2:53 PM,70 F,50 F,49 %,NW,14 mph,0 mph,30.01 in,0.0 in,Fair,California,Alameda,3,11
3:53 PM,70 F,50 F,49 %,WNW,15 mph,0 mph,30.00 in,0.0 in,Fair,California,Alameda,3,11
4:53 PM,67 F,50 F,54 %,WNW,12 mph,0 mph,30.00 in,0.0 in,Fair,California,Alameda,3,11
5:53 PM,65 F,51 F,61 %,WNW,13 mph,0 mph,29.99 in,0.0 in,Fair,California,Alameda,3,11
6:53 PM,63 F,51 F,65 %,WNW,7 mph,0 mph,29.99 in,0.0 in,Fair,California,Alameda,3,11
7:53 PM,58 F,51 F,78 %,WNW,7 mph,0 mph,30.00 in,0.0 in,Fair,California,Alameda,3,11
8:53 PM,58 F,50 F,75 %,WNW,9 mph,0 mph,30.01 in,0.0 in,Fair,California,Alameda,3,11
9:53 PM,56 F,49 F,77 %,NW,6 mph,0 mph,30.02 in,0.0 in,Fair,California,Alameda,3,11
10:53 PM,55 F,49 F,80 %,WNW,5 mph,0 mph,30.02 in,0.0 in,Fair,California,Alameda,3,11
11:53 PM,54 F,49 F,83 %,NW,6 mph,0 mph,30.02 in,0.0 in,Fair,California,Alameda,3,11
12:53 AM,54 F,49 F,83 %,WNW,7 mph,0 mph,30.02 in,0.0 in,Fair,California,Alameda,3,12
1:53 AM,53 F,49 F,86 %,WNW,3 mph,0 mph,30.01 in,0.0 in,Fair,California,Alameda,3,12
2:53 AM,53 F,49 F,86 %,CALM,0 mph,0 mph,30.00 in,0.0 in,Fair,California,Alameda,3,12
3:53 AM,52 F,49 F,89 %,CALM,0 mph,0 mph,29.98 in,0.0 in,Fair,California,Alameda,3,12
4:53 AM,50 F,47 F,89 %,CALM,0 mph,0 mph,29.96 in,0.0 in,Fair,California,Alameda,3,12
5:53 AM,51 F,48 F,89 %,CALM,0 mph,0 mph,29.96 in,0.0 in,Fair,California,Alameda,3,12
6:53 AM,49 F,46 F,90 %,CALM,0 mph,0 mph,29.95 in,0.0 in,Mist,California,Alameda,3,12
7:46 AM,50 F,47 F,89 %,CALM,0 mph,0 mph,29.94 in,0.0 in,Fog,California,Alameda,3,12
7:53 AM,50 F,48 F,93 %,CALM,0 mph,0 mph,29.94 in,0.0 in,Fog,California,Alameda,3,12
7:55 AM,49 F,47 F,93 %,CALM,0 mph,0 mph,29.94 in,0.0 in,Fog,California,Alameda,3,12
8:25 AM,51 F,49 F,92 %,CALM,0 mph,0 mph,29.94 in,0.0 in,Fog,California,Alameda,3,12
8:44 AM,51 F,50 F,96 %,CALM,0 mph,0 mph,29.94 in,0.0 in,Fog,California,Alameda,3,12
8:51 AM,52 F,52 F,100 %,CALM,0 mph,0 mph,29.94 in,0.0 in,Fog,California,Alameda,3,12
8:53 AM,52 F,51 F,97 %,CALM,0 mph,0 mph,29.94 in,0.0 in,Fog,California,Alameda,3,12
9:04 AM,53 F,51 F,93 %,CALM,0 mph,0 mph,29.94 in,0.0 in,Partly Cloudy,California,Alameda,3,12
9:53 AM,55 F,51 F,86 %,WSW,3 mph,0 mph,29.94 in,0.0 in,Partly Cloudy,California,Alameda,3,12
10:53 AM,57 F,50 F,77 %,W,6 mph,0 mph,29.92 in,0.0 in,Fair,California,Alameda,3,12
11:53 AM,59 F,51 F,75 %,W,6 mph,0 mph,29.90 in,0.0 in,Fair,California,Alameda,3,12
12:53 PM,65 F,51 F,61 %,W,5 mph,0 mph,29.87 in,0.0 in,Fair,California,Alameda,3,12
1:53 PM,69 F,51 F,53 %,WNW,8 mph,0 mph,29.84 in,0.0 in,Fair,California,Alameda,3,12
2:53 PM,71 F,47 F,42 %,W,13 mph,0 mph,29.81 in,0.0 in,Fair,California,Alameda,3,12
3:53 PM,70 F,47 F,44 %,W,10 mph,0 mph,29.79 in,0.0 in,Fair,California,Alameda,3,12
4:53 PM,65 F,49 F,56 %,W,8 mph,0 mph,29.77 in,0.0 in,Fair,California,Alameda,3,12
5:53 PM,63 F,47 F,56 %,W,8 mph,0 mph,29.76 in,0.0 in,Fair,California,Alameda,3,12
6:53 PM,60 F,49 F,67 %,WNW,13 mph,0 mph,29.76 in,0.0 in,Fair,California,Alameda,3,12
7:53 PM,57 F,49 F,74 %,NW,10 mph,0 mph,29.77 in,0.0 in,Fair,California,Alameda,3,12
8:53 PM,56 F,49 F,77 %,WNW,12 mph,0 mph,29.75 in,0.0 in,Fair,California,Alameda,3,12
9:53 PM,54 F,50 F,86 %,WNW,7 mph,0 mph,29.75 in,0.0 in,Fair,California,Alameda,3,12
10:53 PM,53 F,48 F,83 %,NW,9 mph,0 mph,29.75 in,0.0 in,Fair,California,Alameda,3,12
11:53 PM,53 F,49 F,86 %,NW,5 mph,0 mph,29.75 in,0.0 in,Fair,California,Alameda,3,12
12:53 AM,53 F,49 F,86 %,NNW,6 mph,0 mph,29.74 in,0.0 in,Fair,California,Alameda,3,13
1:53 AM,53 F,48 F,83 %,NNW,6 mph,0 mph,29.73 in,0.0 in,Fair,California,Alameda,3,13
2:53 AM,51 F,47 F,86 %,N,3 mph,0 mph,29.73 in,0.0 in,Fair,California,Alameda,3,13
3:53 AM,53 F,48 F,83 %,NNW,6 mph,0 mph,29.72 in,0.0 in,Fair,California,Alameda,3,13
4:53 AM,50 F,46 F,86 %,ENE,3 mph,0 mph,29.71 in,0.0 in,Partly Cloudy,California,Alameda,3,13
5:19 AM,51 F,47 F,86 %,ENE,6 mph,0 mph,29.72 in,0.0 in,Mostly Cloudy,California,Alameda,3,13
5:53 AM,49 F,45 F,86 %,ENE,5 mph,0 mph,29.72 in,0.0 in,Fair,California,Alameda,3,13
6:46 AM,54 F,49 F,83 %,S,8 mph,0 mph,29.73 in,0.0 in,Mostly Cloudy,California,Alameda,3,13
6:53 AM,54 F,49 F,83 %,S,8 mph,0 mph,29.73 in,0.0 in,Cloudy,California,Alameda,3,13
7:38 AM,53 F,48 F,83 %,SE,7 mph,0 mph,29.75 in,0.0 in,Cloudy,California,Alameda,3,13
7:53 AM,53 F,49 F,86 %,E,6 mph,0 mph,29.75 in,0.0 in,Cloudy,California,Alameda,3,13
8:53 AM,57 F,50 F,77 %,S,3 mph,0 mph,29.76 in,0.0 in,Partly Cloudy,California,Alameda,3,13
9:53 AM,58 F,49 F,72 %,S,6 mph,0 mph,29.78 in,0.0 in,Fair,California,Alameda,3,13
10:53 AM,59 F,48 F,67 %,SW,7 mph,0 mph,29.78 in,0.0 in,Fair,California,Alameda,3,13
11:53 AM,61 F,48 F,62 %,VAR,5 mph,0 mph,29.77 in,0.0 in,Fair,California,Alameda,3,13
12:53 PM,63 F,48 F,58 %,SW,3 mph,0 mph,29.77 in,0.0 in,Fair,California,Alameda,3,13
1:53 PM,65 F,49 F,56 %,SW,21 mph,0 mph,29.77 in,0.0 in,Fair / Windy,California,Alameda,3,13
2:53 PM,64 F,49 F,58 %,SW,24 mph,0 mph,29.76 in,0.0 in,Fair / Windy,California,Alameda,3,13
3:53 PM,62 F,48 F,60 %,SW,28 mph,32 mph,29.77 in,0.0 in,Fair / Windy,California,Alameda,3,13
4:53 PM,61 F,47 F,60 %,SW,28 mph,33 mph,29.80 in,0.0 in,Fair / Windy,California,Alameda,3,13
5:53 PM,59 F,47 F,64 %,SW,25 mph,33 mph,29.81 in,0.0 in,Mostly Cloudy / Windy,California,Alameda,3,13
6:53 PM,58 F,47 F,67 %,SSW,17 mph,0 mph,29.83 in,0.0 in,Mostly Cloudy,California,Alameda,3,13
7:53 PM,57 F,46 F,67 %,SW,14 mph,0 mph,29.86 in,0.0 in,Mostly Cloudy,California,Alameda,3,13
8:29 PM,57 F,46 F,67 %,SW,13 mph,0 mph,29.87 in,0.0 in,Partly Cloudy,California,Alameda,3,13
8:53 PM,57 F,45 F,64 %,SW,13 mph,0 mph,29.88 in,0.0 in,Mostly Cloudy,California,Alameda,3,13
9:28 PM,57 F,46 F,67 %,SW,14 mph,0 mph,29.89 in,0.0 in,Mostly Cloudy,California,Alameda,3,13
9:53 PM,56 F,48 F,75 %,W,15 mph,0 mph,29.90 in,0.0 in,Mostly Cloudy,California,Alameda,3,13
10:53 PM,55 F,47 F,74 %,W,14 mph,0 mph,29.92 in,0.0 in,Mostly Cloudy,California,Alameda,3,13
11:53 PM,55 F,45 F,69 %,W,15 mph,0 mph,29.94 in,0.0 in,Cloudy,California,Alameda,3,13
12:53 AM,54 F,44 F,69 %,W,13 mph,0 mph,29.94 in,0.0 in,Cloudy,California,Alameda,3,14
1:53 AM,53 F,45 F,74 %,W,10 mph,0 mph,29.96 in,0.0 in,Cloudy,California,Alameda,3,14
2:53 AM,53 F,45 F,74 %,WSW,13 mph,0 mph,29.96 in,0.0 in,Cloudy,California,Alameda,3,14
3:39 AM,53 F,46 F,77 %,SW,12 mph,0 mph,29.95 in,0.0 in,Mostly Cloudy,California,Alameda,3,14
3:53 AM,54 F,45 F,72 %,SW,13 mph,0 mph,29.94 in,0.0 in,Mostly Cloudy,California,Alameda,3,14
4:53 AM,54 F,45 F,72 %,S,10 mph,0 mph,29.94 in,0.0 in,Cloudy,California,Alameda,3,14
5:53 AM,54 F,45 F,72 %,SSW,16 mph,0 mph,29.94 in,0.0 in,Mostly Cloudy,California,Alameda,3,14
6:53 AM,55 F,44 F,67 %,SSW,15 mph,22 mph,29.95 in,0.0 in,Mostly Cloudy,California,Alameda,3,14
7:53 AM,55 F,46 F,72 %,SSW,18 mph,0 mph,29.98 in,0.0 in,Light Rain,California,Alameda,3,14
8:53 AM,54 F,48 F,80 %,WSW,17 mph,0 mph,30.00 in,0.0 in,Light Rain,California,Alameda,3,14
9:53 AM,52 F,49 F,89 %,W,12 mph,0 mph,30.02 in,0.1 in,Rain,California,Alameda,3,14
10:37 AM,51 F,48 F,89 %,W,16 mph,0 mph,30.03 in,0.1 in,Light Rain,California,Alameda,3,14
10:43 AM,51 F,48 F,89 %,WSW,12 mph,0 mph,30.03 in,0.1 in,Light Rain,California,Alameda,3,14
10:53 AM,51 F,49 F,92 %,WSW,8 mph,0 mph,30.02 in,0.1 in,Rain,California,Alameda,3,14
11:53 AM,53 F,50 F,89 %,SSW,8 mph,0 mph,30.02 in,0.0 in,Cloudy,California,Alameda,3,14
12:09 PM,53 F,50 F,89 %,SW,9 mph,0 mph,30.02 in,0.0 in,Rain,California,Alameda,3,14
12:11 PM,52 F,50 F,93 %,SW,9 mph,0 mph,30.02 in,0.0 in,Rain,California,Alameda,3,14
12:45 PM,52 F,48 F,86 %,SSW,10 mph,0 mph,30.02 in,0.1 in,Light Rain,California,Alameda,3,14
12:53 PM,52 F,48 F,86 %,SSW,9 mph,0 mph,30.02 in,0.1 in,Light Rain,California,Alameda,3,14
1:08 PM,52 F,48 F,86 %,W,13 mph,0 mph,30.02 in,0.0 in,Rain,California,Alameda,3,14
1:11 PM,52 F,48 F,86 %,W,13 mph,0 mph,30.02 in,0.0 in,Light Rain,California,Alameda,3,14
1:17 PM,52 F,48 F,86 %,W,13 mph,0 mph,30.02 in,0.1 in,Rain,California,Alameda,3,14
1:37 PM,52 F,48 F,86 %,WSW,9 mph,0 mph,30.02 in,0.1 in,Light Rain,California,Alameda,3,14
1:53 PM,53 F,47 F,80 %,W,12 mph,0 mph,30.01 in,0.1 in,Light Rain,California,Alameda,3,14
2:53 PM,52 F,47 F,83 %,SW,6 mph,0 mph,29.99 in,0.1 in,Light Rain,California,Alameda,3,14
3:53 PM,53 F,51 F,93 %,SW,7 mph,0 mph,29.99 in,0.0 in,Cloudy,California,Alameda,3,14
4:53 PM,54 F,50 F,86 %,SW,13 mph,0 mph,29.98 in,0.0 in,Light Rain,California,Alameda,3,14
5:53 PM,54 F,49 F,83 %,SW,12 mph,0 mph,29.97 in,0.0 in,Light Rain,California,Alameda,3,14
6:41 PM,54 F,45 F,72 %,WSW,8 mph,0 mph,29.96 in,0.0 in,Mostly Cloudy,California,Alameda,3,14
6:53 PM,54 F,45 F,72 %,SW,12 mph,0 mph,29.97 in,0.0 in,Light Rain,California,Alameda,3,14
7:53 PM,53 F,46 F,77 %,S,9 mph,0 mph,29.95 in,0.0 in,Cloudy,California,Alameda,3,14
8:53 PM,53 F,46 F,77 %,SSW,8 mph,0 mph,29.95 in,0.0 in,Mostly Cloudy,California,Alameda,3,14
9:53 PM,53 F,46 F,77 %,SSW,10 mph,0 mph,29.95 in,0.0 in,Cloudy,California,Alameda,3,14
10:53 PM,53 F,46 F,77 %,SSW,10 mph,0 mph,29.95 in,0.0 in,Cloudy,California,Alameda,3,14
11:53 PM,54 F,44 F,69 %,SSW,14 mph,0 mph,29.94 in,0.0 in,Cloudy,California,Alameda,3,14
12:53 AM,53 F,44 F,71 %,SSW,12 mph,0 mph,29.94 in,0.0 in,Light Drizzle,California,Alameda,3,15
1:20 AM,53 F,44 F,71 %,SSW,18 mph,0 mph,29.93 in,0.0 in,Light Rain,California,Alameda,3,15
1:53 AM,52 F,45 F,77 %,SW,18 mph,0 mph,29.92 in,0.0 in,Rain,California,Alameda,3,15
2:33 AM,52 F,46 F,80 %,SSW,15 mph,0 mph,29.92 in,0.0 in,Light Rain,California,Alameda,3,15
2:53 AM,53 F,46 F,77 %,S,16 mph,0 mph,29.91 in,0.0 in,Cloudy,California,Alameda,3,15
3:53 AM,54 F,45 F,72 %,SSW,21 mph,0 mph,29.89 in,0.0 in,Mostly Cloudy / Windy,California,Alameda,3,15
4:53 AM,54 F,44 F,69 %,SW,26 mph,30 mph,29.89 in,0.0 in,Mostly Cloudy / Windy,California,Alameda,3,15
5:53 AM,53 F,42 F,66 %,S,20 mph,0 mph,29.89 in,0.0 in,Light Rain,California,Alameda,3,15
6:53 AM,52 F,44 F,74 %,SW,21 mph,24 mph,29.92 in,0.0 in,Light Rain / Windy,California,Alameda,3,15
7:53 AM,53 F,43 F,69 %,SSW,16 mph,0 mph,29.94 in,0.0 in,Mostly Cloudy,California,Alameda,3,15
8:53 AM,50 F,44 F,80 %,WSW,21 mph,0 mph,29.95 in,0.1 in,Heavy Rain / Windy,California,Alameda,3,15
8:56 AM,51 F,44 F,77 %,WSW,22 mph,0 mph,29.95 in,0.0 in,Rain / Windy,California,Alameda,3,15
9:53 AM,51 F,44 F,77 %,WSW,10 mph,0 mph,29.98 in,0.0 in,Light Rain,California,Alameda,3,15
10:53 AM,53 F,45 F,74 %,SW,8 mph,0 mph,30.00 in,0.0 in,Light Rain,California,Alameda,3,15
11:53 AM,53 F,43 F,69 %,SW,14 mph,21 mph,30.01 in,0.1 in,Light Rain,California,Alameda,3,15
12:53 PM,53 F,45 F,74 %,S,15 mph,23 mph,30.01 in,0.0 in,Light Rain,California,Alameda,3,15
1:40 PM,56 F,43 F,62 %,SSW,12 mph,0 mph,30.01 in,0.0 in,Mostly Cloudy,California,Alameda,3,15
1:48 PM,55 F,45 F,67 %,SSW,12 mph,0 mph,30.01 in,0.0 in,Mostly Cloudy,California,Alameda,3,15
1:53 PM,55 F,44 F,67 %,SSW,12 mph,0 mph,30.01 in,0.0 in,Mostly Cloudy,California,Alameda,3,15
2:31 PM,54 F,44 F,69 %,WSW,10 mph,30 mph,30.00 in,0.0 in,Light Rain,California,Alameda,3,15
2:53 PM,56 F,46 F,69 %,WSW,13 mph,0 mph,30.00 in,0.0 in,Light Rain,California,Alameda,3,15
3:02 PM,56 F,46 F,69 %,W,15 mph,0 mph,30.00 in,0.0 in,Light Rain,California,Alameda,3,15
3:53 PM,56 F,43 F,62 %,W,13 mph,0 mph,30.00 in,0.0 in,Mostly Cloudy,California,Alameda,3,15
4:53 PM,54 F,42 F,64 %,W,10 mph,0 mph,29.98 in,0.0 in,Mostly Cloudy,California,Alameda,3,15
5:53 PM,53 F,41 F,64 %,W,13 mph,0 mph,29.99 in,0.0 in,Light Rain,California,Alameda,3,15
6:53 PM,52 F,43 F,71 %,S,8 mph,0 mph,29.99 in,0.0 in,Light Rain,California,Alameda,3,15
7:53 PM,50 F,44 F,80 %,VAR,3 mph,0 mph,29.99 in,0.0 in,Light Rain,California,Alameda,3,15
8:48 PM,52 F,43 F,71 %,VAR,6 mph,0 mph,30.00 in,0.0 in,Rain,California,Alameda,3,15
8:53 PM,50 F,41 F,71 %,N,5 mph,0 mph,30.00 in,0.0 in,Light Rain,California,Alameda,3,15
9:44 PM,48 F,46 F,93 %,NE,5 mph,0 mph,30.00 in,0.0 in,Light Rain,California,Alameda,3,15
9:53 PM,48 F,46 F,93 %,NE,6 mph,0 mph,30.00 in,0.0 in,Light Rain,California,Alameda,3,15
10:53 PM,48 F,47 F,96 %,ENE,5 mph,0 mph,29.99 in,0.0 in,Light Rain,California,Alameda,3,15
11:53 PM,48 F,47 F,96 %,ENE,5 mph,0 mph,29.98 in,0.0 in,Cloudy,California,Alameda,3,15
12:53 AM,48 F,46 F,93 %,CALM,0 mph,0 mph,29.98 in,0.1 in,Rain,California,Alameda,3,16
1:01 AM,48 F,46 F,93 %,CALM,0 mph,0 mph,29.98 in,0.0 in,Light Rain,California,Alameda,3,16
1:41 AM,47 F,45 F,93 %,E,5 mph,0 mph,29.97 in,0.0 in,Rain,California,Alameda,3,16
1:53 AM,47 F,46 F,97 %,ENE,6 mph,0 mph,29.97 in,0.1 in,Light Rain,California,Alameda,3,16
2:53 AM,47 F,45 F,93 %,NE,6 mph,0 mph,29.97 in,0.0 in,Light Rain,California,Alameda,3,16
3:53 AM,46 F,44 F,93 %,NE,7 mph,0 mph,29.95 in,0.0 in,Light Rain,California,Alameda,3,16
4:53 AM,46 F,43 F,89 %,NE,7 mph,0 mph,29.94 in,0.0 in,Light Rain,California,Alameda,3,16
5:53 AM,45 F,42 F,90 %,NE,10 mph,0 mph,29.95 in,0.1 in,Light Rain,California,Alameda,3,16
6:53 AM,45 F,42 F,90 %,ENE,12 mph,0 mph,29.96 in,0.0 in,Light Rain,California,Alameda,3,16
7:53 AM,44 F,41 F,89 %,NE,12 mph,0 mph,29.94 in,0.0 in,Cloudy,California,Alameda,3,16
8:53 AM,45 F,43 F,93 %,E,8 mph,0 mph,29.97 in,0.0 in,Cloudy,California,Alameda,3,16
9:53 AM,47 F,40 F,77 %,ENE,10 mph,0 mph,29.96 in,0.0 in,Cloudy,California,Alameda,3,16
10:53 AM,49 F,41 F,74 %,ENE,6 mph,0 mph,29.96 in,0.0 in,Cloudy,California,Alameda,3,16
11:31 AM,50 F,42 F,74 %,E,7 mph,0 mph,29.96 in,0.0 in,Mostly Cloudy,California,Alameda,3,16
11:53 AM,50 F,41 F,71 %,E,9 mph,0 mph,29.95 in,0.0 in,Mostly Cloudy,California,Alameda,3,16
12:53 PM,52 F,40 F,63 %,SE,6 mph,0 mph,29.94 in,0.0 in,Mostly Cloudy,California,Alameda,3,16
1:53 PM,54 F,40 F,59 %,SW,6 mph,0 mph,29.91 in,0.0 in,Mostly Cloudy,California,Alameda,3,16
2:53 PM,54 F,40 F,59 %,VAR,7 mph,0 mph,29.90 in,0.0 in,Partly Cloudy,California,Alameda,3,16
3:53 PM,54 F,41 F,62 %,W,10 mph,0 mph,29.88 in,0.0 in,Partly Cloudy,California,Alameda,3,16
4:53 PM,56 F,39 F,53 %,W,10 mph,0 mph,29.88 in,0.0 in,Partly Cloudy,California,Alameda,3,16
5:53 PM,55 F,37 F,51 %,WSW,7 mph,0 mph,29.88 in,0.0 in,Partly Cloudy,California,Alameda,3,16
6:53 PM,54 F,38 F,55 %,W,7 mph,0 mph,29.90 in,0.0 in,Partly Cloudy,California,Alameda,3,16
7:53 PM,53 F,37 F,55 %,W,7 mph,0 mph,29.91 in,0.0 in,Partly Cloudy,California,Alameda,3,16
8:53 PM,52 F,40 F,63 %,SW,7 mph,0 mph,29.91 in,0.0 in,Partly Cloudy,California,Alameda,3,16
